@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
144,723,1,1284,143,0.89979,0.998619,0.360239,0.998619,0.639761,0.529476,0.933054,1.070269,0.905608
145,723,1,1283,144,0.899089,0.998619,0.360419,0.998619,0.639581,0.52967,0.932589,1.070802,0.906124
146,723,1,1282,145,0.898388,0.998619,0.360599,0.998619,0.639401,0.529864,0.932125,1.071336,0.907031
147,723,1,1281,146,0.897687,0.998619,0.360778,0.998619,0.639222,0.530059,0.93166,1.071871,0.90853
148,723,1,1280,147,0.896987,0.998619,0.360959,0.998619,0.639041,0.530253,0.931195,1.072406,0.908583
149,723,1,1279,148,0.896286,0.998619,0.361139,0.998619,0.638861,0.530448,0.93073,1.072942,0.908615
150,723,1,1278,149,0.895585,0.998619,0.361319,0.998619,0.638681,0.530642,0.930265,1.073478,0.908823
151,723,1,1277,150,0.894884,0.998619,0.3615,0.998619,0.6385,0.530837,0.9298,1.074015,0.909746
152,723,1,1276,151,0.894184,0.998619,0.361681,0.998619,0.638319,0.531032,0.929335,1.074552,0.909786
153,723,1,1275,152,0.893483,0.998619,0.361862,0.998619,0.638138,0.531227,0.92887,1.07509,0.91054
154,723,1,1274,153,0.892782,0.998619,0.362043,0.998619,0.637957,0.531422,0.928405,1.075628,0.911593
155,723,1,1273,154,0.892081,0.998619,0.362224,0.998619,0.637776,0.531618,0.92794,1.076167,0.911876
156,723,1,1272,155,0.891381,0.998619,0.362406,0.998619,0.637594,0.531813,0.927476,1.076706,0.911979
157,723,1,1271,156,0.89068,0.998619,0.362588,0.998619,0.637412,0.532009,0.927011,1.077246,0.91227
158,723,1,1270,157,0.889979,0.998619,0.36277,0.998619,0.63723,0.532205,0.926546,1.077787,0.912938
159,723,1,1269,158,0.889278,0.998619,0.362952,0.998619,0.637048,0.532401,0.926081,1.078328,0.91295
160,723,1,1268,159,0.888577,0.998619,0.363134,0.998619,0.636866,0.532597,0.925616,1.078869,0.912978
161,723,1,1267,160,0.887877,0.998619,0.363317,0.998619,0.636683,0.532793,0.925151,1.079412,0.913434
162,723,1,1266,161,0.887176,0.998619,0.363499,0.998619,0.636501,0.532989,0.924686,1.079954,0.913531
163,723,1,1265,162,0.886475,0.998619,0.363682,0.998619,0.636318,0.533186,0.924221,1.080497,0.913606
164,723,1,1264,163,0.885774,0.998619,0.363865,0.998619,0.636135,0.533383,0.923756,1.081041,0.913668
165,723,1,1263,164,0.885074,0.998619,0.364048,0.998619,0.635952,0.533579,0.923291,1.081586,0.913992
166,723,1,1262,165,0.884373,0.998619,0.364232,0.998619,0.635768,0.533776,0.922827,1.08213,0.915275
167,723,1,1261,166,0.883672,0.998619,0.364415,0.998619,0.635585,0.533973,0.922362,1.082676,0.915843
168,723,1,1260,167,0.882971,0.998619,0.364599,0.998619,0.635401,0.534171,0.921897,1.083222,0.916005
169,723,1,1259,168,0.88227,0.998619,0.364783,0.998619,0.635217,0.534368,0.921432,1.083768,0.916121
170,723,1,1258,169,0.88157,0.998619,0.364967,0.998619,0.635033,0.534566,0.920967,1.084316,0.916429
171,723,1,1257,170,0.880869,0.998619,0.365152,0.998619,0.634848,0.534763,0.920502,1.084863,0.917166
172,723,1,1256,171,0.880168,0.998619,0.365336,0.998619,0.634664,0.534961,0.920037,1.085411,0.917959
173,723,1,1255,172,0.879467,0.998619,0.365521,0.998619,0.634479,0.535159,0.919572,1.08596,0.918531
174,723,1,1254,173,0.878767,0.998619,0.365706,0.998619,0.634294,0.535357,0.919107,1.086509,0.91868
175,723,1,1253,174,0.878066,0.998619,0.365891,0.998619,0.634109,0.535556,0.918642,1.087059,0.919197
176,723,1,1252,175,0.877365,0.998619,0.366076,0.998619,0.633924,0.535754,0.918178,1.08761,0.9194
177,723,1,1251,176,0.876664,0.998619,0.366261,0.998619,0.633739,0.535953,0.917713,1.088161,0.919453
178,723,1,1250,177,0.875964,0.998619,0.366447,0.998619,0.633553,0.536151,0.917248,1.088712,0.920023
179,723,1,1249,178,0.875263,0.998619,0.366633,0.998619,0.633367,0.53635,0.916783,1.089264,0.920119
180,723,1,1248,179,0.874562,0.998619,0.366819,0.998619,0.633181,0.536549,0.916318,1.089817,0.921052
181,723,1,1247,180,0.873861,0.998619,0.367005,0.998619,0.632995,0.536748,0.915853,1.09037,0.921079
182,723,1,1246,181,0.87316,0.998619,0.367191,0.998619,0.632809,0.536948,0.915388,1.090924,0.921401
183,723,1,1245,182,0.87246,0.998619,0.367378,0.998619,0.632622,0.537147,0.914923,1.091478,0.921534
184,723,1,1244,183,0.871759,0.998619,0.367565,0.998619,0.632435,0.537347,0.914458,1.092033,0.921676
185,723,1,1243,184,0.871058,0.998619,0.367752,0.998619,0.632248,0.537546,0.913993,1.092589,0.922031
186,723,1,1242,185,0.870357,0.998619,0.367939,0.998619,0.632061,0.537746,0.913529,1.093145,0.922818
187,723,1,1241,186,0.869657,0.998619,0.368126,0.998619,0.631874,0.537946,0.913064,1.093701,0.923141
188,723,1,1240,187,0.868956,0.998619,0.368314,0.998619,0.631686,0.538147,0.912599,1.094258,0.92319
189,723,1,1239,188,0.868255,0.998619,0.368502,0.998619,0.631498,0.538347,0.912134,1.094816,0.923318
190,723,1,1238,189,0.867554,0.998619,0.368689,0.998619,0.631311,0.538547,0.911669,1.095374,0.923605
191,723,1,1237,190,0.866854,0.998619,0.368878,0.998619,0.631122,0.538748,0.911204,1.095933,0.923971
192,723,1,1236,191,0.866153,0.998619,0.369066,0.998619,0.630934,0.538949,0.910739,1.096493,0.924227
193,723,1,1235,192,0.865452,0.998619,0.369254,0.998619,0.630746,0.53915,0.910274,1.097053,0.924301
194,723,1,1234,193,0.864751,0.998619,0.369443,0.998619,0.630557,0.539351,0.909809,1.097613,0.924553
195,723,1,1233,194,0.86405,0.998619,0.369632,0.998619,0.630368,0.539552,0.909344,1.098174,0.924784
196,723,1,1232,195,0.86335,0.998619,0.369821,0.998619,0.630179,0.539754,0.90888,1.098736,0.92603
197,723,1,1231,196,0.862649,0.998619,0.37001,0.998619,0.62999,0.539955,0.908415,1.099298,0.926796
198,723,1,1230,197,0.861948,0.998619,0.3702,0.998619,0.6298,0.540157,0.90795,1.099861,0.927047
199,723,1,1229,198,0.861247,0.998619,0.370389,0.998619,0.629611,0.540359,0.907485,1.100425,0.927292
200,723,1,1228,199,0.860547,0.998619,0.370579,0.998619,0.629421,0.540561,0.90702,1.100989,0.927621
201,723,1,1227,200,0.859846,0.998619,0.370769,0.998619,0.629231,0.540763,0.906555,1.101553,0.928016
202,723,1,1226,201,0.859145,0.998619,0.370959,0.998619,0.629041,0.540965,0.90609,1.102119,0.928503
203,723,1,1225,202,0.858444,0.998619,0.37115,0.998619,0.62885,0.541168,0.905625,1.102684,0.928618
204,723,1,1224,203,0.857744,0.998619,0.371341,0.998619,0.628659,0.54137,0.90516,1.103251,0.928705
205,723,1,1223,204,0.857043,0.998619,0.371531,0.998619,0.628469,0.541573,0.904695,1.103818,0.929046
206,723,1,1222,205,0.856342,0.998619,0.371722,0.998619,0.628278,0.541776,0.904231,1.104385,0.929123
207,723,1,1221,206,0.855641,0.998619,0.371914,0.998619,0.628086,0.541979,0.903766,1.104953,0.929164
208,723,1,1220,207,0.85494,0.998619,0.372105,0.998619,0.627895,0.542182,0.903301,1.105522,0.929499
209,723,1,1219,208,0.85424,0.998619,0.372297,0.998619,0.627703,0.542386,0.902836,1.106091,0.929556
210,723,1,1218,209,0.853539,0.998619,0.372488,0.998619,0.627512,0.542589,0.902371,1.106661,0.930118
211,723,1,1217,210,0.852838,0.998619,0.37268,0.998619,0.62732,0.542793,0.901906,1.107231,0.930508
212,723,1,1216,211,0.852137,0.998619,0.372873,0.998619,0.627127,0.542997,0.901441,1.107802,0.931235
213,723,1,1215,212,0.851437,0.998619,0.373065,0.998619,0.626935,0.543201,0.900976,1.108374,0.931408
214,723,1,1214,213,0.850736,0.998619,0.373258,0.998619,0.626742,0.543405,0.900511,1.108946,0.931603
215,723,1,1213,214,0.850035,0.998619,0.37345,0.998619,0.62655,0.543609,0.900046,1.109519,0.931909
216,723,1,1212,215,0.849334,0.998619,0.373643,0.998619,0.626357,0.543813,0.899582,1.110093,0.932052
217,723,1,1211,216,0.848633,0.998619,0.373837,0.998619,0.626163,0.544018,0.899117,1.110666,0.93241
218,723,1,1210,217,0.847933,0.998619,0.37403,0.998619,0.62597,0.544223,0.898652,1.111241,0.932492
219,723,1,1209,218,0.847232,0.998619,0.374224,0.998619,0.625776,0.544428,0.898187,1.111816,0.933011
220,723,1,1208,219,0.846531,0.998619,0.374417,0.998619,0.625583,0.544633,0.897722,1.112392,0.93381
221,723,1,1207,220,0.84583,0.998619,0.374611,0.998619,0.625389,0.544838,0.897257,1.112968,0.933846
222,723,1,1206,221,0.84513,0.998619,0.374806,0.998619,0.625194,0.545043,0.896792,1.113545,0.934018
223,723,1,1205,222,0.844429,0.998619,0.375,0.998619,0.625,0.545249,0.896327,1.114123,0.934753
224,723,1,1204,223,0.843728,0.998619,0.375195,0.998619,0.624805,0.545455,0.895862,1.114701,0.93536
225,723,1,1203,224,0.843027,0.998619,0.375389,0.998619,0.624611,0.54566,0.895397,1.11528,0.935537
226,723,1,1202,225,0.842327,0.998619,0.375584,0.998619,0.624416,0.545866,0.894933,1.115859,0.935563
227,723,1,1201,226,0.841626,0.998619,0.37578,0.998619,0.62422,0.546073,0.894468,1.116439,0.935854
228,723,1,1200,227,0.840925,0.998619,0.375975,0.998619,0.624025,0.546279,0.894003,1.11702,0.936029
229,723,1,1199,228,0.840224,0.998619,0.376171,0.998619,0.623829,0.546485,0.893538,1.117601,0.936167
230,723,1,1198,229,0.839523,0.998619,0.376366,0.998619,0.623634,0.546692,0.893073,1.118183,0.936194
231,723,1,1197,230,0.838823,0.998619,0.376563,0.998619,0.623438,0.546899,0.892608,1.118765,0.936217
232,723,1,1196,231,0.838122,0.998619,0.376759,0.998619,0.623241,0.547106,0.892143,1.119348,0.936693
233,723,1,1195,232,0.837421,0.998619,0.376955,0.998619,0.623045,0.547313,0.891678,1.119932,0.937093
234,723,1,1194,233,0.83672,0.998619,0.377152,0.998619,0.622848,0.54752,0.891213,1.120516,0.937781
235,723,1,1193,234,0.83602,0.998619,0.377349,0.998619,0.622651,0.547727,0.890748,1.121101,0.937799
236,723,1,1192,235,0.835319,0.998619,0.377546,0.998619,0.622454,0.547935,0.890284,1.121686,0.938227
237,723,1,1191,236,0.834618,0.998619,0.377743,0.998619,0.622257,0.548143,0.889819,1.122272,0.938298
238,723,1,1190,237,0.833917,0.998619,0.37794,0.998619,0.62206,0.54835,0.889354,1.122859,0.938486
239,723,1,1189,238,0.833217,0.998619,0.378138,0.998619,0.621862,0.548558,0.888889,1.123446,0.939009
240,723,1,1188,239,0.832516,0.998619,0.378336,0.998619,0.621664,0.548767,0.888424,1.124034,0.939114
241,723,1,1187,240,0.831815,0.998619,0.378534,0.998619,0.621466,0.548975,0.887959,1.124623,0.939194
242,723,1,1186,241,0.831114,0.998619,0.378732,0.998619,0.621268,0.549183,0.887494,1.125212,0.939443
243,723,1,1185,242,0.830413,0.998619,0.378931,0.998619,0.621069,0.549392,0.887029,1.125801,0.939535
244,723,1,1184,243,0.829713,0.998619,0.37913,0.998619,0.62087,0.549601,0.886564,1.126392,0.939765
245,723,1,1183,244,0.829012,0.998619,0.379328,0.998619,0.620672,0.54981,0.886099,1.126983,0.94007
